3,1,"[28, 121, 28]","[-28, -91, -28]",1,93.24517600000036,0.053846400000111316,92.63092789999973

3,2,"[36, 46, 35]","[-36, -46, -5]",1,72.28223640000033,0.05302309999933641,71.62075139999979

4,0,"[42, 59, 42]","[-12, -59, -42]",1,103.26548010000079,0.05284229999961099,102.60047510000004

4,1,"[56, 100, 53]","[-56, -70, -53]",1,51.189107899999726,0.05866249999962747,50.553309900000386

4,2,"[53, 89, 53]","[-53, -89, -23]",1,92.14406450000024,0.051957100000436185,91.46104169999853

5,0,"[54, 42, 55]","[-24, -42, -55]",2,72.07144379999954,0.04936740000084683,71.37334980000014

5,1,"[82, 32, 81]","[-82, -2, -81]",0,77.49156040000162,0.050159399999756715,76.70055089999914

5,2,"[68, 58, 69]","[-68, -58, -39]",2,55.02105670000128,0.051710899999307,54.41369119999945

6,0,"[42, 60, 43]","[-12, -60, -43]",1,69.05483129999993,0.05092719999993278,68.35175410000011

6,1,"[36, 108, 36]","[-36, -78, -36]",1,56.2059535999997,0.050133099999584374,55.6076862000009

6,2,"[45, 74, 46]","[-45, -74, -16]",1,79.73608319999948,0.052370800000062445,79.15241719999904

7,0,"[58, 90, 58]","[-28, -90, -58]",1,49.725059799999144,0.051669300000867224,49.13242539999919

7,1,"[35, 72, 35]","[-35, -42, -35]",1,80.42828870000085,0.05003759999999602,79.79277980000006

7,2,"[69, 48, 70]","[-69, -48, -40]",2,47.841308400000344,0.051867599999241065,47.27058120000038

8,0,"[61, 44, 60]","[-31, -44, -60]",0,103.84680859999935,0.05106870000054187,103.2213783999996

8,1,"[32, 46, 32]","[-32, -16, -32]",1,54.3121016999994,0.054023000000597676,53.701655899998514

8,2,"[61, 49, 62]","[-61, -49, -32]",2,78.04815599999893,0.0502372999999352,77.30000639999889

9,0,"[45, 53, 44]","[-15, -53, -44]",1,61.7422301000006,0.054141900000104215,61.17757859999983

9,1,"[33, 79, 34]","[-33, -49, -34]",1,80.72656069999903,0.05034489999889047,80.1469961999992

9,2,"[32, 118, 30]","[-32, -118, 0]",1,64.13336569999956,0.059213099999396945,63.505935399998634

0,0,"[31, 47, 32]","[-1, -47, -32]",1,106.06508249999933,0.05496810000113328,105.31136929999957

0,1,"[33, 57, 33]","[-33, -27, -33]",1,66.61109469999974,0.05638840000028722,65.92349479999939

0,2,"[49, 24, 49]","[-49, -24, -19]",0,93.8148801999996,0.05625739999959478,93.15589849999924

1,0,"[48, 39, 49]","[-18, -39, -49]",2,74.32708569999886,0.06415019999985816,73.69047920000048

1,1,"[24, 29, 24]","[-24, 1, -24]",1,86.68724979999934,0.05903480000051786,86.07609890000094

